symbol,date,prev_close,close,ttl_traded_qty,deliv_qty,deliv_pct,turnover_lacs,no_of_trades
SONACOMS,2026-07-13,668.55,670.85,1526140,877948,57.53,10206.89,36319
GRANULES,2026-07-13,889.85,897.65,1173159,673903,57.44,10547.94,45646
ZYDUSLIFE,2026-07-13,1150.8,1131.3,1514991,868113,57.3,17191.43,34184
HINDUNILVR,2026-07-13,2150.6,2130.6,1833988,1049040,57.2,39041.3,54715
BAJFINANCE,2026-07-13,1020.5,1022.6,4874070,2782114,57.08,49609.12,145609
INDHOTEL,2026-07-13,752.3,738.55,3853243,2196676,57.01,28597.58,83866
CUB,2026-07-13,229.33,225.13,1301126,741582,57.0,2930.66,26344
LENSKART,2026-07-13,543.65,539.15,1550656,883502,56.98,8391.57,41735
MANKIND,2026-07-13,2525.1,2507.5,289767,165066,56.97,7285.37,13219
EMCURE,2026-07-13,1814.4,1793.3,87267,49696,56.95,1574.72,10447
VAML,2026-07-13,443.55,450.95,7186549,4081712,56.8,32304.47,110771
CONCOR,2026-07-13,463.75,463.95,3105163,1762353,56.76,14275.88,32678
DELHIVERY,2026-07-13,520.3,512.3,2476391,1402745,56.64,12720.4,42898
GMRAIRPORT,2026-07-13,112.51,114.68,14980179,8447430,56.39,17086.01,50657
ICICIBANK,2026-07-13,1401.2,1409.5,10091437,5684221,56.33,141619.08,205509
GICRE,2026-07-13,365.0,364.85,383395,215816,56.29,1396.36,8727
IGL,2026-07-13,154.06,153.07,1425411,801617,56.24,2185.5,29596
ASTERDM,2026-07-13,808.9,814.9,595685,334950,56.23,4860.41,31746
COROMANDEL,2026-07-13,2067.8,2060.1,173632,97565,56.19,3561.51,19387
MFSL,2026-07-13,1633.1,1631.8,1039927,584150,56.17,17073.3,42980
SANSERA,2026-07-13,3304.0,3281.2,256819,143531,55.89,8510.23,35277
CRISIL,2026-07-13,4097.4,4071.5,35209,19632,55.76,1438.44,7890
VMM,2026-07-13,118.79,116.21,8973303,4995979,55.68,10464.92,28605
UBL,2026-07-13,1329.3,1334.4,82620,45995,55.67,1096.71,10102
HINDPETRO,2026-07-13,395.3,391.6,7267088,4024873,55.38,28361.81,78395
CHOLAHLDNG,2026-07-13,1652.1,1648.2,204110,112711,55.22,3360.35,16488
NAVINFLUOR,2026-07-13,7712.0,7637.0,55004,30366,55.21,4206.99,10111
BEL,2026-07-13,414.85,410.8,6650781,3671322,55.2,27293.14,87948
IDFCFIRSTB,2026-07-13,80.83,80.58,13772292,7572498,54.98,11071.63,47901
PFC,2026-07-13,406.5,405.1,4979432,2735159,54.93,20043.71,71421
SHRIRAMFIN,2026-07-13,1044.1,1048.1,3212203,1764255,54.92,33493.36,75907
HDFCBANK,2026-07-13,824.95,817.95,21741736,11894060,54.71,177786.98,242082
CRAFTSMAN,2026-07-13,9301.0,9333.0,19180,10489,54.69,1788.13,5635
APOLLOHOSP,2026-07-13,8841.0,8782.5,410798,224600,54.67,36196.0,59976
RELIANCE,2026-07-13,1307.8,1296.9,9488352,5166377,54.45,123293.17,227014
DLF,2026-07-13,685.75,682.35,6977830,3798328,54.43,47465.0,70771
LALPATHLAB,2026-07-13,1692.8,1725.1,334674,181871,54.34,5746.14,30692
DABUR,2026-07-13,443.5,438.9,774683,419828,54.19,3407.73,17651
LLOYDSME,2026-07-13,1799.6,1827.1,444039,240223,54.1,8080.47,23449
MEDANTA,2026-07-13,1336.9,1328.1,81717,43987,53.83,1090.25,8858
AJANTPHARM,2026-07-13,3348.6,3421.4,137282,73553,53.58,4683.95,34366
