symbol,yf_ticker,reason,bars,updated_at
ESPRIT,ESPRIT.NS,exception_no_yahoo_data,0,2026-07-26T20:04:00
ETL,ETL.NS,exception_no_yahoo_data,0,2026-07-26T20:14:16
ETML,ETML.NS,exception_no_yahoo_data,0,2026-07-26T20:01:48
EXCELLENT,EXCELLENT.NS,exception_no_yahoo_data,0,2026-07-26T20:06:15
EXIMROUTES,EXIMROUTES.NS,exception_no_yahoo_data,0,2026-07-26T19:59:58
FINBUD,FINBUD.NS,exception_no_yahoo_data,0,2026-07-26T19:58:49
FLYSBS,FLYSBS.NS,exception_no_yahoo_data,0,2026-07-26T19:50:55
FOCE,FOCE.NS,exception_no_yahoo_data,0,2026-07-26T19:52:00
FORCAS,FORCAS.NS,exception_no_yahoo_data,0,2026-07-26T19:56:56
FORGEAUTO,FORGEAUTO.NS,exception_no_yahoo_data,0,2026-07-26T20:06:24
FRESHARA,FRESHARA.NS,exception_no_yahoo_data,0,2026-07-26T19:51:00
FWSTC,FWSTC.NS,exception_no_yahoo_data,0,2026-07-26T20:00:15
GAJANAND,GAJANAND.NS,exception_no_yahoo_data,0,2026-07-26T20:12:48
GANESHIN,GANESHIN.NS,exception_no_yahoo_data,0,2026-07-26T19:54:40
GANGABATH,GANGABATH.NS,exception_no_yahoo_data,0,2026-07-26T20:10:04
GCHOTELS,GCHOTELS.NS,exception_no_yahoo_data,0,2026-07-26T19:57:21
GENXAI,GENXAI.NS,exception_no_yahoo_data,0,2026-07-26T20:03:55
GJL,GJL.NS,exception_no_yahoo_data,0,2026-07-26T20:08:53
GML,GML.NS,exception_no_yahoo_data,0,2026-07-26T20:11:58
GREENLEAF,GREENLEAF.NS,exception_no_yahoo_data,0,2026-07-26T20:14:30
GURUNANAK,GURUNANAK.NS,exception_no_yahoo_data,0,2026-07-26T20:14:19
HAPPY,HAPPY.NS,exception_no_yahoo_data,0,2026-07-26T20:06:32
HCL_INSYS,HCL_INSYS.NS,exception_no_yahoo_data,0,2026-07-26T19:55:31
HPTL,HPTL.NS,exception_no_yahoo_data,0,2026-07-26T19:56:30
HVAX,HVAX.NS,exception_no_yahoo_data,0,2026-07-26T20:01:24
ICELCO,ICELCO.NS,exception_no_yahoo_data,0,2026-07-26T19:57:15
IDEALTECHO,IDEALTECHO.NS,exception_no_yahoo_data,0,2026-07-26T20:06:21
IDENTICAL,IDENTICAL.NS,exception_no_yahoo_data,0,2026-07-26T20:11:47
INDUSINVIT,INDUSINVIT.NS,exception_no_yahoo_data,0,2026-07-26T19:43:46
INFLUX,INFLUX.NS,exception_no_yahoo_data,0,2026-07-26T19:52:25
INNOMET,INNOMET.NS,exception_no_yahoo_data,0,2026-07-26T19:58:57
INTEGRITY,INTEGRITY.NS,exception_no_yahoo_data,0,2026-07-26T20:08:08
INVICTA,INVICTA.NS,exception_no_yahoo_data,0,2026-07-26T20:13:47
IPHL,IPHL.NS,exception_no_yahoo_data,0,2026-07-26T20:03:20
ITTL,ITTL.NS,exception_no_yahoo_data,0,2026-07-26T20:08:05
IWARE,IWARE.NS,exception_no_yahoo_data,0,2026-07-26T19:53:15
JAINIK,JAINIK.NS,exception_no_yahoo_data,0,2026-07-26T19:58:27
JAYBEE,JAYBEE.NS,exception_no_yahoo_data,0,2026-07-26T20:00:26
JAYESH,JAYESH.NS,exception_no_yahoo_data,0,2026-07-26T20:04:49
JEYYAM,JEYYAM.NS,exception_no_yahoo_data,0,2026-07-26T20:04:11
JYOTIGLOBL,JYOTIGLOBL.NS,exception_no_yahoo_data,0,2026-07-26T20:07:59
KALANA,KALANA.NS,exception_no_yahoo_data,0,2026-07-26T20:12:17
KATARIA,KATARIA.NS,exception_no_yahoo_data,0,2026-07-26T19:59:54
KAYTEX,KAYTEX.NS,exception_no_yahoo_data,0,2026-07-26T20:06:46
KEN,KEN.NS,exception_no_yahoo_data,0,2026-07-26T20:06:53
KKJEWELS,KKJEWELS.NS,exception_no_yahoo_data,0,2026-07-26T20:04:58
KLBRENG_B,KLBRENG_B.NS,exception_no_yahoo_data,0,2026-07-26T19:46:28
KRMAYURVED,KRMAYURVED.NS,exception_no_yahoo_data,0,2026-07-26T19:53:27
KRT.RR,KRT.RR.NS,exception_no_yahoo_data,0,2026-07-26T19:39:38
LAKSHYA,LAKSHYA.NS,exception_no_yahoo_data,0,2026-07-26T20:05:57
LAMOSAIC,LAMOSAIC.NS,exception_no_yahoo_data,0,2026-07-26T20:09:47
MACOBSTECH,MACOBSTECH.NS,exception_no_yahoo_data,0,2026-07-26T20:00:19
MANILAM,MANILAM.NS,exception_no_yahoo_data,0,2026-07-26T20:04:20
MARUSHIKA,MARUSHIKA.NS,exception_no_yahoo_data,0,2026-07-26T20:07:11
MAXVOLT,MAXVOLT.NS,exception_no_yahoo_data,0,2026-07-26T19:55:25
MAYASHEEL,MAYASHEEL.NS,exception_no_yahoo_data,0,2026-07-26T20:06:58
MCCHRLS_B,MCCHRLS_B.NS,exception_no_yahoo_data,0,2026-07-26T19:50:10
MEDISTEP,MEDISTEP.NS,exception_no_yahoo_data,0,2026-07-26T20:11:44
MGSL,MGSL.NS,exception_no_yahoo_data,0,2026-07-26T20:05:49
MIEL,MIEL.NS,exception_no_yahoo_data,0,2026-07-26T20:12:26
MINDSPACE.RR,MINDSPACE.RR.NS,exception_no_yahoo_data,0,2026-07-26T19:40:10
MMEL,MMEL.NS,exception_no_yahoo_data,0,2026-07-26T20:09:14
MOBILISE,MOBILISE.NS,exception_no_yahoo_data,0,2026-07-26T20:05:07
MONOLITH,MONOLITH.NS,exception_no_yahoo_data,0,2026-07-26T19:47:49
MPEL,MPEL.NS,exception_no_yahoo_data,0,2026-07-26T20:11:50
MRIL,MRIL.NS,exception_no_yahoo_data,0,2026-07-26T20:02:25
MUNISH,MUNISH.NS,exception_no_yahoo_data,0,2026-07-26T20:01:12
MYMUDRA,MYMUDRA.NS,exception_no_yahoo_data,0,2026-07-26T20:06:44
NAMOEWASTE,NAMOEWASTE.NS,exception_no_yahoo_data,0,2026-07-26T19:52:49
NAM_INDIA,NAM_INDIA.NS,exception_no_yahoo_data,0,2026-07-26T19:39:29
NDRINVIT,NDRINVIT.NS,exception_no_yahoo_data,0,2026-07-26T20:13:37
NEOCHEM,NEOCHEM.NS,exception_no_yahoo_data,0,2026-07-26T20:02:56
NEPTUNE,NEPTUNE.NS,exception_no_yahoo_data,0,2026-07-26T19:54:45
NFPSAMPOOR,NFPSAMPOOR.NS,exception_no_yahoo_data,0,2026-07-26T20:11:32
NHIT,NHIT.NS,exception_no_yahoo_data,0,2026-07-26T19:39:55
NIKITA,NIKITA.NS,exception_no_yahoo_data,0,2026-07-26T20:00:59
NMSTEEL,NMSTEEL.NS,exception_no_yahoo_data,0,2026-07-26T20:10:59
NRVANDANA,NRVANDANA.NS,exception_no_yahoo_data,0,2026-07-26T20:02:09
NXST.RR,NXST.RR.NS,exception_no_yahoo_data,0,2026-07-26T19:40:26
OBSCP,OBSCP.NS,exception_no_yahoo_data,0,2026-07-26T19:48:20
ONYX,ONYX.NS,exception_no_yahoo_data,0,2026-07-26T20:08:24
OPTIVALUE,OPTIVALUE.NS,exception_no_yahoo_data,0,2026-07-26T19:59:18
OSELDEVICE,OSELDEVICE.NS,exception_no_yahoo_data,0,2026-07-26T19:52:07
PARAMATRIX,PARAMATRIX.NS,exception_no_yahoo_data,0,2026-07-26T20:08:27
PARAMOUNT,PARAMOUNT.NS,exception_no_yahoo_data,0,2026-07-26T20:12:06
PARAMPARA,PARAMPARA.NS,exception_no_yahoo_data,0,2026-07-26T20:13:01
PARTH,PARTH.NS,exception_no_yahoo_data,0,2026-07-26T19:52:45
PATILAUTOM,PATILAUTOM.NS,exception_no_yahoo_data,0,2026-07-26T19:54:50
PELATRO,PELATRO.NS,exception_no_yahoo_data,0,2026-07-26T19:57:38
PHOGLOBAL,PHOGLOBAL.NS,exception_no_yahoo_data,0,2026-07-26T20:11:28
POSITRON,POSITRON.NS,exception_no_yahoo_data,0,2026-07-26T20:03:35
PPSL,PPSL.NS,exception_no_yahoo_data,0,2026-07-26T20:13:24
PRANIK,PRANIK.NS,exception_no_yahoo_data,0,2026-07-26T20:10:07
PREMIUM,PREMIUM.NS,exception_no_yahoo_data,0,2026-07-26T20:07:28
PRIMECAB,PRIMECAB.NS,exception_no_yahoo_data,0,2026-07-26T19:56:36
PROFX,PROFX.NS,exception_no_yahoo_data,0,2026-07-26T20:03:58
PSFL,PSFL.NS,exception_no_yahoo_data,0,2026-07-26T20:08:59
PSRAJ,PSRAJ.NS,exception_no_yahoo_data,0,2026-07-26T19:56:27
PURPLEUTED,PURPLEUTED.NS,exception_no_yahoo_data,0,2026-07-26T19:56:17
PUSHPA,PUSHPA.NS,exception_no_yahoo_data,0,2026-07-26T19:57:57
QLINE,QLINE.NS,exception_no_yahoo_data,0,2026-07-26T19:49:20
QVCEL,QVCEL.NS,exception_no_yahoo_data,0,2026-07-26T20:12:09
RAJINDLTD,RAJINDLTD.NS,exception_no_yahoo_data,0,2026-07-26T20:02:15
RAJPUTANA,RAJPUTANA.NS,exception_no_yahoo_data,0,2026-07-26T20:03:03
RAPIDFLEET,RAPIDFLEET.NS,exception_no_yahoo_data,0,2026-07-26T20:03:42
RAPPID,RAPPID.NS,exception_no_yahoo_data,0,2026-07-26T20:01:16
READYMIX,READYMIX.NS,exception_no_yahoo_data,0,2026-07-26T20:04:38
REXPRO,REXPRO.NS,exception_no_yahoo_data,0,2026-07-26T20:10:17
RFBL,RFBL.NS,exception_no_yahoo_data,0,2026-07-26T20:14:21
RICHA,RICHA.NS,exception_no_yahoo_data,0,2026-07-26T20:06:00
RIIT,RIIT.NS,exception_no_yahoo_data,0,2026-07-26T20:13:52
RNFI,RNFI.NS,exception_no_yahoo_data,0,2026-07-26T19:52:14
RNPL,RNPL.NS,exception_no_yahoo_data,0,2026-07-26T20:06:08
ROCKPP.E1,ROCKPP.E1.NS,exception_no_yahoo_data,0,2026-07-26T20:14:08
ROYALARC,ROYALARC.NS,exception_no_yahoo_data,0,2026-07-26T20:01:54
RTL,RTL.NS,exception_no_yahoo_data,0,2026-07-26T20:05:24
SACHEEROME,SACHEEROME.NS,exception_no_yahoo_data,0,2026-07-26T19:50:15
SAFEENTP,SAFEENTP.NS,exception_no_yahoo_data,0,2026-07-26T19:49:23
