symbol,sector,industry,nifty_sector_index,sector_match_basis,perf_1w,perf_1m,nifty_1w,nifty_1m,sector_1m,rs_vs_nifty_1w,rs_vs_nifty_1m,rs_vs_sector_1m
ZENTEC,Technology Services,Information Technology Services,NIFTY_IT,industry,7.067911910526932,2.834994462901442,-0.97,1.32,10.24,8.04,1.51,-7.41
NAVA,Utilities,Electric Utilities,NIFTY_ENERGY,industry,-3.268581081081085,-3.7563025210084073,-0.97,1.32,-2.39,-2.3,-5.08,-1.37
THANGAMAYL,Consumer Durables,Other Consumer Specialties,NIFTY_AUTO,sector,4.465832531280077,-15.664335664335663,-0.97,1.32,1.4,5.44,-16.98,-17.06
GPIL,Non-Energy Minerals,Steel,NIFTY_METAL,industry,-3.115226337448557,-6.575396825396823,-0.97,1.32,-4.41,-2.15,-7.9,-2.17
APLLTD,Health Technology,Pharmaceuticals: Major,NIFTY_PHARMA,industry,-0.4491017964071856,1.7317341818626824,-0.97,1.32,3.01,0.52,0.41,-1.28
SYNGENE,Commercial Services,Miscellaneous Commercial Services,,unmapped,0.5636272545090181,-4.41666666666667,-0.97,1.32,,1.53,-5.74,
ASTRAMICRO,Electronic Technology,Telecommunications Equipment,NIFTY_IT,sector,-2.994980479643059,0.0172512938470359,-0.97,1.32,10.24,-2.02,-1.3,-10.22
AGARWALEYE,Health Services,Medical/Nursing Services,NIFTY_PHARMA,industry,-3.880823607552907,3.219889953128187,-0.97,1.32,3.01,-2.91,1.9,0.21
RATNAMANI,Non-Energy Minerals,Steel,NIFTY_METAL,industry,-0.9600808489136003,-9.18918918918919,-0.97,1.32,-4.41,0.01,-10.51,-4.78
ZYDUSWELL,Consumer Non-Durables,Food: Major Diversified,NIFTY_FMCG,industry,-4.438202247191009,-11.712802768166087,-0.97,1.32,-1.63,-3.47,-13.03,-10.08
FIVESTAR,Finance,Finance/Rental/Leasing,NIFTY_FIN_SERVICE,industry,0.0272702481592747,0.0363636363636446,-0.97,1.32,1.89,1.0,-1.28,-1.85
INOXWIND,Producer Manufacturing,Electrical Products,NIFTY_INFRA,industry,-5.913154533844184,-7.181554743605899,-0.97,1.32,-0.98,-4.94,-8.5,-6.2
KFINTECH,Technology Services,Packaged Software,NIFTY_IT,industry,0.863780245721332,5.855855855855856,-0.97,1.32,10.24,1.83,4.54,-4.38
BEML,Producer Manufacturing,Trucks/Construction/Farm Machinery,NIFTY_INFRA,industry,8.35308399329441,0.8284023668639102,-0.97,1.32,-0.98,9.32,-0.49,1.81
CROMPTON,Producer Manufacturing,Industrial Machinery,NIFTY_INFRA,industry,-8.037037037037035,-4.865900383141758,-0.97,1.32,-0.98,-7.07,-6.19,-3.89
BHARATCOAL,Energy Minerals,Coal,NIFTY_ENERGY,industry,-1.4912280701754534,-8.872058425750613,-0.97,1.32,-2.39,-0.52,-10.19,-6.48
SHILPAMED,Health Technology,Pharmaceuticals: Major,NIFTY_PHARMA,industry,11.08108108108108,30.49690427051914,-0.97,1.32,3.01,12.05,29.18,27.49
FINEORG,Process Industries,Chemicals: Major Diversified,,unmapped,3.102826217678897,3.02022831964751,-0.97,1.32,,4.07,1.7,
