symbol,swing_high_20d,swing_low_20d,swing_low_50d,base_high,base_low,base_length_days,breakout_20d_high,volume_20d_avg,volume_ratio_vs_20d,consolidation_atr_pct,pct_from_base_high,bars_available
LEENEE,10.47,7.3,6.81,,,,False,20269.3,0.064,5.604,,26
LEMERITE,23.5,17.73,17.73,,,,False,223713.25,0.56,4.905,,1077
LEMONTREE,109.53,100.88,100.88,,,,False,2664102.3,0.187,4.26,,2095
LENSKART,725.0,626.15,530.0,,,,False,14309873.4,0.098,5.11,,221
LEXUS,15.23,12.3,12.3,,,,False,31812.9,0.269,3.433,,2245
LFIC,166.98,128.9,128.9,,,,False,13610.55,0.002,4.113,,4010
LGBBROSLTD,1764.9,1671.1,1504.0,1764.9,1671.1,20.0,False,26846.45,0.139,2.657,-1.836,4622
LGEINDIA,1727.1,1599.0,1484.8,,,,False,474939.65,0.126,3.664,,238
LGHL,199.0,168.66,168.0,199.0,168.66,20.0,False,13366.5,0.142,2.596,-9.548,1586
LIBAS,13.19,9.7,9.28,,,,False,118594.25,0.125,4.541,,2357
LIBERTSHOE,250.85,215.0,215.0,,,,False,17558.35,0.221,4.513,,6017
LICHSGFIN,579.4,523.4,485.45,,,,False,3778094.2,0.291,3.251,,6019
LICI,422.0,386.5,385.9,,,,False,6200320.95,0.151,4.865,,1082
LIKHITHA,245.99,200.0,200.0,,,,False,130193.85,0.743,3.228,,1473
LINC,100.0,89.5,89.5,100.0,89.5,20.0,False,21017.4,0.072,2.982,-8.01,2854
LINCOLN,648.4,586.1,569.7,,,,False,34918.95,0.185,3.603,,2661
LINDEINDIA,6677.5,6024.5,6024.5,,,,False,21069.95,0.15,5.342,,6565
LKPSEC,16.66,14.01,14.01,16.66,14.01,20.0,False,9208.85,0.001,2.903,-9.064,27
LLOYDS,64.0,55.05,55.05,,,,False,4350.0,0.69,5.104,,975
LLOYDSENGG,89.99,77.68,77.68,,,,True,4663039.55,0.786,4.347,,2519
LLOYDSENT,75.42,65.91,65.91,,,,False,1958257.7,0.693,3.977,,483
LLOYDSME,1908.0,1741.0,1741.0,,,,True,316795.0,0.879,4.431,,792
LMW,20120.0,16800.0,15600.0,,,,False,5520.0,0.069,5.253,,6019
LODHA,1278.0,1047.5,1047.5,,,,False,1523076.05,0.158,5.932,,1349
LOKESHMACH,385.8,296.1,296.1,,,,False,62133.1,0.214,4.418,,5034
LORDSCHLO,149.0,129.68,129.68,,,,False,12574.35,0.141,3.365,,760
LOTUSCHO,671.0,533.7,533.7,,,,False,3935.0,0.987,4.611,,26
LOTUSDEV,221.8,173.8,137.01,,,,False,1551739.0,0.226,5.136,,284
LOTUSEYE,116.86,105.0,105.0,,,,False,11658.3,0.106,3.206,,4488
LOVABLE,76.0,68.16,68.16,,,,False,14055.5,0.163,3.252,,3826
LOYALTEX,257.94,197.09,193.0,,,,False,2138.65,14.021,4.352,,1018
LPDC,7.48,6.02,5.81,,,,False,89431.75,0.057,3.051,,4467
LRRPL,94.5,83.0,80.0,,,,True,5400.0,3.056,7.031,,883
LT,4067.3,3799.8999,3720.0,,,,False,1267531.4,0.149,4.614,,6022
LTF,323.65,293.5,293.5,,,,False,3442947.0,0.638,4.1,,3729
LTFOODS,466.8,408.95,368.0,,,,False,482560.75,0.298,4.847,,4878
LTM,4700.0,4094.0,3913.8,,,,False,390970.2,0.175,4.735,,2518
LTTS,3675.0,3271.0,3271.0,,,,False,77704.95,0.124,6.234,,2475
LUMAXIND,6609.5,5560.0,5020.5,,,,False,19423.75,0.164,5.257,,6017
LUMAXTECH,2190.0,1893.7,1384.4,,,,False,156350.05,0.922,3.898,,4859
LUMINO,122.0,98.05,98.05,,,,False,36439324.4,0.084,3.444,,15
LUPIN,2192.0,2033.5,2033.5,,,,False,666222.8,0.207,4.29,,6230
