symbol,latest_oi,prev_oi,change_in_oi,pct_change_oi,volume,fut_value,opt_value,prem_value,underlying_value
RELIANCE,472037,475938,-3901,-0.82,69385,52784.87785,40764079345,5782.74345,1302
INDIGO,83584,84307,-723,-0.86,11013,9298.74144,7886259930,1259.4243,5309
CONCOR,28244,28495,-251,-0.88,1447,2042.8875,662925562,140.19312,465
NIFTYNXT50,896,904,-8,-0.88,72,1063.38615,25190371,0.45371,72253
IREDA,24148,24368,-220,-0.9,1768,2501.50597,765873535,138.81885,124
ADANIPORTS,68141,68777,-636,-0.92,9914,8685.38184,7958167731,1158.70231,1842
TATASTEEL,126637,127907,-1270,-0.99,20771,11267.55795,10055152277,1953.50402,192
DALBHARAT,19833,20044,-211,-1.05,1433,1701.39138,677258816,116.71816,1785
IRFC,42763,43257,-494,-1.14,2487,1831.29826,1068237455,171.54555,89
JIOFIN,111329,112719,-1390,-1.23,37190,38314.70996,17687052878,3670.00628,241
ULTRACEMCO,70282,71165,-883,-1.24,6200,4956.31669,3201510190,406.0019,11695
HINDPETRO,36031,36512,-481,-1.32,4355,6766.05879,2870447260,486.80635,397
KAYNES,46648,48153,-1505,-3.13,2326,3146.43952,925176607,182.54107,3411
