symbol,close,perf_1m,pct_change_oi,change_in_oi,tot_volume,tot_turnover,latest_oi,in_oi_spurt,fno_score
AMBUJACEM,388.25,-4.840686274509804,0.13,140.0,8529.0,25148.09928,108232.0,True,3
CONCOR,468.05,-9.934413580246916,0.01,3.0,12740.0,14672.42875,38758.0,True,3
RVNL,208.25,-6.066756878664858,0.0,-1.0,6268.0,4943.3713175,49592.0,True,3
MOTILALOFS,1032.6,4.092741935483862,-0.03,-5.0,7853.0,11761.0345875,16378.0,True,3
MANAPPURAM,319.7,-12.709897610921503,-0.17,-58.0,217.0,1446.0252,33887.0,True,3
SAIL,187.95,4.012174875484228,-0.19,-93.0,559.0,4028.08471,48264.0,True,3
CDSL,1335.0,-3.41484589784402,-0.19,-122.0,17693.0,24797.15688,62487.0,True,3
WAAREEENER,2489.2,-6.771535580524351,-0.28,-226.0,10346.0,15225.6531525,81705.0,True,3
SOLARINDS,19745.0,-0.903387703889586,-0.31,-282.0,44924.0,25889.337695,89797.0,True,3
DRREDDY,1209.0,1.682085786375105,-0.33,-229.0,11145.0,28944.5668125,68829.0,True,3
LICHSGFIN,568.25,15.96938775510204,-0.39,-249.0,1152.0,5654.6098,63768.0,True,3
INOXWIND,74.08,0.2842832002165882,-0.4,-118.0,5570.0,8685.54112,29411.0,True,3
MAZDOCK,2196.0,-13.539903145793144,-0.49,-327.0,18784.0,36803.399175,66341.0,True,3
PETRONET,285.3,-3.140383636054999,-0.65,-160.0,3449.0,12589.17352,24491.0,True,3
PIIND,2390.9,-3.3940765283445797,-0.68,-364.0,10441.0,14698.33785,53028.0,True,3
SIEMENS,3837.6,-6.71852211959164,-0.93,-387.0,8737.0,14687.5599675,41262.0,True,3
UNOMINDA,1235.0,-0.6436041834271923,-1.06,-181.0,4693.0,14545.41275,16898.0,True,3
HAVELLS,1095.6,-13.054519482580748,-1.1,-495.0,8359.0,23582.70805,44669.0,True,3
BOSCHLTD,47730.0,-0.7898565786738724,-1.14,-253.0,9593.0,16917.308685,21921.0,True,3
KPITTECH,523.9,-10.152632481564062,-1.16,-453.0,10400.0,6883.6331575,38532.0,True,3
KEI,4655.0,-15.302037845705968,-1.35,-590.0,11311.0,14555.1357525,42978.0,True,3
IREDA,110.0,-4.3478260869565215,-1.44,-642.0,5061.0,15212.2350475,44006.0,True,3
FORCEMOT,17286.0,-1.7840909090909092,-1.49,-337.0,9907.0,10711.87748,22315.0,True,3
RADICO,4589.3,-0.2326086956521699,-1.66,-316.0,7615.0,6106.6167,18667.0,True,3
KAYNES,3469.3,-10.10545953929469,-1.69,-1276.0,3108.0,8777.63562,74165.0,True,3
OFSS,10871.0,-5.617294669213405,-1.71,-793.0,19990.0,22570.23652,45640.0,True,3
CAMS,720.7,-4.162234042553186,-1.78,-450.0,4746.0,10338.121365,24894.0,True,3
RBLBANK,415.7,7.235908680510772,-1.83,-583.0,33033.0,63600.927535,31346.0,True,3
HYUNDAI,2092.3,-5.154125113327281,-2.06,-634.0,5825.0,13840.4939475,30179.0,True,3
360ONE,1091.1,-8.403290799194101,-2.32,-514.0,10280.0,9546.8629,21697.0,True,3
COCHINSHIP,1377.8,-9.056105610561058,-2.59,-1127.0,8003.0,13274.38272,42452.0,True,3
ATHERENERG,1501.9,3.2375584272752365,-3.58,-1956.0,29185.0,17543.722275,52705.0,True,3
