symbol,sector,industry,nifty_sector_index,sector_match_basis,perf_1w,perf_1m,nifty_1w,nifty_1m,sector_1m,rs_vs_nifty_1w,rs_vs_nifty_1m,rs_vs_sector_1m
SAMBHAAV,Consumer Services,Publishing: Newspapers,NIFTY_FMCG,sector,4.2087542087542085,-0.1612903225806417,-0.07,-3.51,0.0,4.28,3.35,-0.16
SCML,Producer Manufacturing,Industrial Machinery,NIFTY_INFRA,industry,2.443857331571987,-7.014388489208644,-0.07,-3.51,0.0,2.51,-3.5,-7.01
AAATECH,Technology Services,Information Technology Services,NIFTY_IT,industry,-5.832974601808009,-6.766116142781028,-0.07,-3.51,-6.31,-5.76,-3.26,-0.46
TOTAL,Transportation,Air Freight/Couriers,,unmapped,-6.432748538011699,0.8544614091609462,-0.07,-3.51,,-6.36,4.36,
XELPMOC,Technology Services,Information Technology Services,NIFTY_IT,industry,-0.1597656770070623,-1.9738562091503336,-0.07,-3.51,-6.31,-0.09,1.54,4.34
GTL,Technology Services,Information Technology Services,NIFTY_IT,industry,-2.8965517241379306,-2.3578363384188616,-0.07,-3.51,-6.31,-2.83,1.15,3.95
BCPL,Industrial Services,Engineering & Construction,NIFTY_INFRA,industry,-5.702364394993057,-3.142857142857147,-0.07,-3.51,0.0,-5.63,0.37,-3.14
SOMICONVEY,Producer Manufacturing,Miscellaneous Manufacturing,NIFTY_INFRA,sector,-3.565573770491793,-7.960101701545081,-0.07,-3.51,0.0,-3.5,-4.45,-7.96
USK,Industrial Services,Engineering & Construction,NIFTY_INFRA,industry,-1.8804243008678736,-9.151785714285705,-0.07,-3.51,0.0,-1.81,-5.64,-9.15
SURYALAXMI,Process Industries,Textiles,,unmapped,-3.064543742509843,-3.461210571184998,-0.07,-3.51,,-2.99,0.05,
HOLMARC,Electronic Technology,Electronic Equipment/Instruments,NIFTY_IT,sector,6.280193236714976,1.3824884792626728,-0.07,-3.51,-6.31,6.35,4.89,7.69
JAYESH,Transportation,Air Freight/Couriers,,unmapped,-5.925925925925926,-7.333090113097417,-0.07,-3.51,,-5.86,-3.82,
VLEGOV,Technology Services,Information Technology Services,NIFTY_IT,industry,2.597402597402595,5.658436213991759,-0.07,-3.51,-6.31,2.67,9.17,11.97
GSMFOILS,Non-Energy Minerals,Aluminum,NIFTY_METAL,industry,-3.7166085946573615,-1.3682331945270572,-0.07,-3.51,0.0,-3.65,2.14,-1.37
COMPUSOFT,Technology Services,Information Technology Services,NIFTY_IT,industry,5.0381679389312986,-5.234159779614323,-0.07,-3.51,-6.31,5.11,-1.72,1.08
WEIZMANIND,Process Industries,Textiles,,unmapped,-4.054054054054054,-9.49649458253665,-0.07,-3.51,,-3.98,-5.99,
FORGEAUTO,Producer Manufacturing,Metal Fabrication,NIFTY_INFRA,industry,-2.0098039215686248,-5.707547169811319,-0.07,-3.51,0.0,-1.94,-2.2,-5.71
MAKERSL,Health Technology,Pharmaceuticals: Major,NIFTY_PHARMA,industry,9.505789325049411,8.31284916201117,-0.07,-3.51,2.44,9.58,11.82,5.87
PROPSHOP,Commercial Services,Miscellaneous Commercial Services,,unmapped,1.91518467852258,10.863095238095234,-0.07,-3.51,,1.99,14.37,
THACKER,Finance,Finance/Rental/Leasing,NIFTY_FIN_SERVICE,industry,4.30622009569378,0.8325624421831638,-0.07,-3.51,0.0,4.38,4.34,0.83
SHYAMDHANI,Consumer Non-Durables,Food: Major Diversified,NIFTY_FMCG,industry,5.0096339113680175,1.6791044776119377,-0.07,-3.51,0.0,5.08,5.19,1.68
KEN,Process Industries,Textiles,,unmapped,18.475452196382424,12.93103448275862,-0.07,-3.51,,18.55,16.44,
MITCON,Commercial Services,Miscellaneous Commercial Services,,unmapped,-1.231707317073177,4.638242894056833,-0.07,-3.51,,-1.16,8.15,
VGCL,Finance,Investment Managers,NIFTY_FIN_SERVICE,industry,-9.117249372223306,-19.36589545844045,-0.07,-3.51,0.0,-9.05,-15.86,-19.37
GROBTEA,Consumer Non-Durables,Food: Major Diversified,NIFTY_FMCG,industry,-6.184922948771344,-2.699784017278618,-0.07,-3.51,0.0,-6.11,0.81,-2.7
AMEYA,Producer Manufacturing,Industrial Machinery,NIFTY_INFRA,industry,35.73696145124717,37.926267281106,-0.07,-3.51,0.0,35.81,41.44,37.93
SATTVAENGG,Industrial Services,Engineering & Construction,NIFTY_INFRA,industry,7.94351279788173,-18.357810413885183,-0.07,-3.51,0.0,8.01,-14.85,-18.36
RAJSREESUG,Process Industries,Agricultural Commodities/Milling,,unmapped,-6.142433234421376,-21.66914314016841,-0.07,-3.51,,-6.07,-18.16,
AVROIND,Consumer Durables,Home Furnishings,NIFTY_AUTO,sector,-5.476190476190476,-16.244725738396625,-0.07,-3.51,0.0,-5.41,-12.73,-16.24
OPTIFIN,Distribution Services,Wholesale Distributors,,unmapped,-6.570302233902759,20.40643522438611,-0.07,-3.51,,-6.5,23.92,
ZEAL,Transportation,Airlines,,unmapped,-2.5641025641025643,22.580645161290324,-0.07,-3.51,,-2.49,26.09,
MDL,Consumer Durables,Home Furnishings,NIFTY_AUTO,sector,-3.225806451612903,9.090909090909092,-0.07,-3.51,0.0,-3.16,12.6,9.09
KKJEWELS,Retail Trade,Specialty Stores,NIFTY_FMCG,sector,0.2964426877470327,-0.4901960784313725,-0.07,-3.51,0.0,0.37,3.02,-0.49
DBSTOCKBRO,Finance,Investment Banks/Brokers,NIFTY_FIN_SERVICE,industry,10.423905489923555,4.02618657937807,-0.07,-3.51,0.0,10.49,7.54,4.03
ZENITHEXPO,Consumer Non-Durables,Apparel/Footwear,NIFTY_FMCG,sector,-0.9951456310679668,3.291972651304128,-0.07,-3.51,0.0,-0.93,6.8,3.29
