symbol,date,prev_close,close,ttl_traded_qty,deliv_qty,deliv_pct,turnover_lacs,no_of_trades
SECMARK,2026-08-28,126.95,151.31,73883,27233,36.86,108.57,1262
POWERINDIA,2026-08-28,33880.0,33330.0,32688,12016,36.76,10934.57,12225
LIBAS,2026-08-28,10.47,10.46,26728,9818,36.73,2.83,174
JBMA,2026-08-28,645.25,641.55,132197,48428,36.63,850.99,7652
TIRUMALCHM,2026-08-28,159.58,160.32,2119773,776240,36.62,3441.58,21689
PERSISTENT,2026-08-28,5654.0,5875.0,957631,350318,36.58,55849.88,69212
AHCL,2026-08-28,15.6,15.91,15441669,5647592,36.57,2512.61,55557
NELCO,2026-08-28,960.4,961.2,156043,57068,36.57,1501.22,6876
KPRMILL,2026-08-28,1126.5,1130.2,270993,99083,36.56,3033.39,18721
CHALET,2026-08-28,910.3,901.2,204227,74564,36.51,1862.35,18281
CLEANMAX,2026-08-28,1274.6,1250.9,224246,81744,36.45,2810.86,15602
ADANIPOWER,2026-08-28,215.0,212.63,14256352,5195217,36.44,30293.85,75985
VOEPL,2026-08-28,572.7,570.65,181264,66006,36.41,1034.43,6155
DEEPINDS,2026-08-28,667.35,674.45,184232,67014,36.37,1249.47,7376
ADVENTHTL,2026-08-28,140.52,142.8,333397,121188,36.35,475.85,5125
HPAL,2026-08-28,34.63,34.86,66287,24077,36.32,23.21,613
YATRA,2026-08-28,107.81,109.82,1574744,571004,36.26,1700.26,10536
MANAPPURAM,2026-08-28,348.0,348.9,1893238,685454,36.21,6601.35,27546
SILGO,2026-08-28,74.03,75.63,58311,21083,36.16,43.88,632
BHEL,2026-08-28,433.95,430.85,5837847,2108829,36.12,25158.81,58385
PROSTARM,2026-08-28,132.52,135.31,167124,60224,36.04,224.81,2742
CGCL,2026-08-28,244.8,257.98,29680127,10685140,36.0,74798.25,118337
LANCORHOL,2026-08-28,30.86,33.93,1647306,592256,35.95,551.21,7054
PARADEEP,2026-08-28,160.55,165.88,8464938,3037542,35.88,14038.51,71995
WAKEFIT,2026-08-28,147.72,144.71,1135910,406936,35.82,1692.69,10597
MARKSANS,2026-08-28,326.15,329.7,1463661,524034,35.8,4814.51,27128
ECLERX,2026-08-28,1940.9,1955.5,188636,67147,35.6,3703.11,20551
SEDEMAC,2026-08-28,3026.5,3011.6,63095,22450,35.58,1901.67,10755
LTTS,2026-08-28,3537.9,3568.7,48168,17137,35.58,1719.14,8774
KANPRPLA,2026-08-28,268.49,272.32,48314,17169,35.54,130.18,1371
LEMERITE,2026-08-28,21.81,20.97,195943,69630,35.54,42.3,436
PAYTM,2026-08-28,1679.0,1650.9,1837484,651297,35.45,30626.38,42611
DIXON,2026-08-28,14711.0,14650.0,223996,79354,35.43,33178.65,32959
TVSSCS,2026-08-28,130.79,131.56,884652,313300,35.42,1166.56,10606
JUSTDIAL,2026-08-28,640.5,704.55,739937,262027,35.41,5175.27,9281
HCC,2026-08-28,25.1,24.64,41624710,14740232,35.41,10382.97,44159
IREDA,2026-08-28,117.4,117.02,4510429,1594505,35.35,5268.95,38298
GOPAL,2026-08-28,279.15,276.25,167988,59324,35.31,468.09,8878
BSOFT,2026-08-28,287.95,300.9,3235524,1140417,35.25,9667.7,44867
FORTIS,2026-08-28,915.65,926.75,1462799,515491,35.24,13623.76,41575
JMA,2026-08-28,93.04,95.09,198237,69821,35.22,195.0,1600
JKTYRE,2026-08-28,378.75,380.25,301864,105990,35.11,1146.3,8279
ROSSELLIND,2026-08-28,56.99,59.62,349907,122702,35.07,209.1,3151
ARDEE,2026-08-28,59.28,61.16,6521624,2287089,35.07,3952.41,25408
ADANIGREEN,2026-08-28,1328.5,1311.0,776595,271763,34.99,10167.88,20162
GESHIP,2026-08-28,1317.2,1339.6,1428262,499603,34.98,19176.56,73647
