symbol,sector,nifty_sector_index,perf_1w,perf_1m,nifty_1w,nifty_1m,sector_1m,rs_vs_nifty_1w,rs_vs_nifty_1m,rs_vs_sector_1m
LUPIN,Health Technology,NIFTY_PHARMA,1.9113460756405043,9.700577832253542,0.68,0.57,7.74,1.23,9.13,1.96
GAIL,Utilities,NIFTY_ENERGY,2.260355029585795,-2.0572400113346534,0.68,0.57,2.07,1.58,-2.63,-4.13
INDIANB,Finance,NIFTY_FIN_SERVICE,7.458545712626615,-2.602339181286549,0.68,0.57,6.04,6.78,-3.17,-8.64
MARICO,Consumer Non-Durables,NIFTY_FMCG,-0.1301698124371231,4.191358024691364,0.68,0.57,-0.49,-0.81,3.62,4.68
GODREJCP,Consumer Non-Durables,NIFTY_FMCG,-1.3925233644859898,1.588677065280185,0.68,0.57,-0.49,-2.07,1.02,2.08
TATACONSUM,Consumer Non-Durables,NIFTY_FMCG,-0.9828904259191804,-2.087832973362135,0.68,0.57,-0.49,-1.66,-2.66,-1.6
INDUSTOWER,Finance,NIFTY_FIN_SERVICE,3.972410269510796,-1.6908212560386473,0.68,0.57,6.04,3.29,-2.26,-7.73
AMBUJACEM,Non-Energy Minerals,NIFTY_METAL,3.717296081449032,1.4944392956441122,0.68,0.57,-1.16,3.04,0.92,2.65
MAXHEALTH,Health Services,NIFTY_PHARMA,2.0862180374780888,6.9018849685838655,0.68,0.57,7.74,1.41,6.33,-0.84
JINDALSTEL,Non-Energy Minerals,NIFTY_METAL,1.5044939429464612,-9.612875163114396,0.68,0.57,-1.16,0.82,-10.18,-8.45
ABCAPITAL,Finance,NIFTY_FIN_SERVICE,4.705274043433295,10.054347826086955,0.68,0.57,6.04,4.03,9.48,4.01
VEDL,Non-Energy Minerals,NIFTY_METAL,-4.300091491308326,-13.553719008264462,0.68,0.57,-1.16,-4.98,-14.12,-12.39
MANKIND,Health Technology,NIFTY_PHARMA,1.90149003315623,7.72381756756757,0.68,0.57,7.74,1.22,7.15,-0.02
INDHOTEL,Consumer Services,NIFTY_FMCG,2.755524861878459,7.460638451538364,0.68,0.57,-0.49,2.08,6.89,7.95
DRREDDY,Health Technology,NIFTY_PHARMA,-8.425373134328366,-4.05785770132917,0.68,0.57,7.74,-9.11,-4.63,-11.8
LGEINDIA,Consumer Durables,NIFTY_AUTO,0.6270200387847477,1.0844155844155874,0.68,0.57,3.58,-0.05,0.51,-2.5
LLOYDSME,Non-Energy Minerals,NIFTY_METAL,7.927917554263332,6.45088018171493,0.68,0.57,-1.16,7.25,5.88,7.61
JSWENERGY,Utilities,NIFTY_ENERGY,1.311926605504583,-2.790492957746483,0.68,0.57,2.07,0.63,-3.36,-4.86
OFSS,Technology Services,NIFTY_IT,6.107425247659729,23.87267904509284,0.68,0.57,0.94,5.43,23.3,22.93
BHARATFORG,Producer Manufacturing,NIFTY_AUTO,0.142721217887726,3.1862745098039214,0.68,0.57,3.58,-0.54,2.62,-0.39
UNITDSPR,Consumer Non-Durables,NIFTY_FMCG,-2.8743789921930447,7.266029158175265,0.68,0.57,-0.49,-3.55,6.7,7.76
HEROMOTOCO,Consumer Durables,NIFTY_AUTO,0.2786885245901714,-3.09702970297029,0.68,0.57,3.58,-0.4,-3.67,-6.68
MAZDOCK,Producer Manufacturing,NIFTY_AUTO,-2.717213114754106,-2.8167860798362407,0.68,0.57,3.58,-3.4,-3.39,-6.4
SHREECEM,Non-Energy Minerals,NIFTY_METAL,4.206869934388267,8.129755706848218,0.68,0.57,-1.16,3.53,7.56,9.29
LENSKART,Health Technology,NIFTY_PHARMA,-0.3787878787878914,6.572445147262305,0.68,0.57,7.74,-1.06,6.0,-1.17
IDBI,Finance,NIFTY_FIN_SERVICE,7.134010403765179,11.469072164948464,0.68,0.57,6.04,6.45,10.9,5.43
NYKAA,Retail Trade,NIFTY_FMCG,2.9531249999999964,20.81041437477081,0.68,0.57,-0.49,2.27,20.24,21.3
RECLTD,Finance,NIFTY_FIN_SERVICE,1.260383844170718,0.141643059490085,0.68,0.57,6.04,0.58,-0.43,-5.9
ASHOKLEY,Producer Manufacturing,NIFTY_AUTO,-0.1782304264799498,-1.9875000000000045,0.68,0.57,3.58,-0.86,-2.56,-5.57
AUROPHARMA,Health Technology,NIFTY_PHARMA,-0.3086816720257205,10.068162453848336,0.68,0.57,7.74,-0.99,9.5,2.33
ICICIGI,Finance,NIFTY_FIN_SERVICE,-6.609890109890108,-2.0006918819188217,0.68,0.57,6.04,-7.29,-2.57,-8.04
PAYTM,Finance,NIFTY_FIN_SERVICE,13.372568252411304,23.684679864455138,0.68,0.57,6.04,12.69,23.11,17.64
MEESHO,Retail Trade,NIFTY_FMCG,0.1053740779768117,11.962286387743085,0.68,0.57,-0.49,-0.57,11.39,12.45
LAURUSLABS,Health Technology,NIFTY_PHARMA,5.919215312308433,11.095234693148528,0.68,0.57,7.74,5.24,10.53,3.36
HINDPETRO,Energy Minerals,NIFTY_ENERGY,2.481582008530429,-2.304090685066541,0.68,0.57,2.07,1.8,-2.87,-4.37
DIXON,Electronic Technology,NIFTY_IT,7.291112293773284,18.26028660018436,0.68,0.57,0.94,6.61,17.69,17.32
SRF,Process Industries,NIFTY_METAL,2.209558823529409,1.835164835164832,0.68,0.57,-1.16,1.53,1.27,3.0
WAAREEENER,Electronic Technology,NIFTY_IT,-0.4330985915493022,-7.591503267973862,0.68,0.57,0.94,-1.11,-8.16,-8.53
BHARTIHEXA,Communications,,7.568807339449541,10.695259289230554,0.68,0.57,,6.89,10.13,
PERSISTENT,Technology Services,NIFTY_IT,7.555089192025184,3.955375253549696,0.68,0.57,0.94,6.88,3.39,3.02
FEDERALBNK,Finance,NIFTY_FIN_SERVICE,0.5359056806002144,3.385293654542592,0.68,0.57,6.04,-0.14,2.82,-2.65
ATGL,Utilities,NIFTY_ENERGY,1.7730496453900708,-0.7332595462091802,0.68,0.57,2.07,1.09,-1.3,-2.8
NTPCGREEN,Utilities,NIFTY_ENERGY,0.5065200991486138,-5.902532539602456,0.68,0.57,2.07,-0.17,-6.47,-7.97
NHPC,Utilities,NIFTY_ENERGY,0.8662420382165692,6.011514258936952,0.68,0.57,2.07,0.19,5.44,3.94
LTF,Finance,NIFTY_FIN_SERVICE,-0.6513105639396383,6.035944387928115,0.68,0.57,6.04,-1.33,5.47,-0.0
AUBANK,Finance,NIFTY_FIN_SERVICE,0.0385059684251146,0.0192492781520736,0.68,0.57,6.04,-0.64,-0.55,-6.02
INDUSINDBK,Finance,NIFTY_FIN_SERVICE,2.018274927201529,8.896034297963558,0.68,0.57,6.04,1.34,8.33,2.86
NAUKRI,Technology Services,NIFTY_IT,1.2744554793060865,20.242914979757085,0.68,0.57,0.94,0.59,19.67,19.3
DABUR,Consumer Non-Durables,NIFTY_FMCG,-1.222857142857148,0.4999999999999947,0.68,0.57,-0.49,-1.9,-0.07,0.99
PHOENIXLTD,Finance,NIFTY_FIN_SERVICE,3.416058394160575,13.799196787148585,0.68,0.57,6.04,2.74,13.23,7.76
NAM_INDIA,Finance,NIFTY_FIN_SERVICE,2.912040990606312,5.175423285041016,0.68,0.57,6.04,2.23,4.61,-0.86
NMDC,Non-Energy Minerals,NIFTY_METAL,1.3095238095238029,-3.80920085904827,0.68,0.57,-1.16,0.63,-4.38,-2.65
HAVELLS,Producer Manufacturing,NIFTY_AUTO,-2.4999999999999964,0.4846938775510243,0.68,0.57,3.58,-3.18,-0.09,-3.1
YESBANK,Finance,NIFTY_FIN_SERVICE,1.5371477369769402,0.0841750841750823,0.68,0.57,6.04,0.86,-0.49,-5.96
TORNTPOWER,Utilities,NIFTY_ENERGY,3.827169325416696,3.1996587030716723,0.68,0.57,2.07,3.15,2.63,1.13
MCX,Finance,NIFTY_FIN_SERVICE,5.167658586151839,-0.0999689751456475,0.68,0.57,6.04,4.49,-0.67,-6.14
FORTIS,Health Services,NIFTY_PHARMA,4.00317712470214,0.193847880426463,0.68,0.57,7.74,3.32,-0.38,-7.55
ICICIPRULI,Finance,NIFTY_FIN_SERVICE,10.166320166320162,8.820207413492144,0.68,0.57,6.04,9.49,8.25,2.78
PRESTIGE,Finance,NIFTY_FIN_SERVICE,3.771498771498777,14.303112313937758,0.68,0.57,6.04,3.09,13.73,8.26
BAJAJHFL,Finance,NIFTY_FIN_SERVICE,2.024432809773118,0.7931034482758594,0.68,0.57,6.04,1.34,0.22,-5.25
POLICYBZR,Technology Services,NIFTY_IT,3.4955185659410954,1.8651543793320675,0.68,0.57,0.94,2.82,1.3,0.93
SUZLON,Producer Manufacturing,NIFTY_AUTO,-0.997553171466217,-6.272273699215959,0.68,0.57,3.58,-1.68,-6.84,-9.85
OIL,Energy Minerals,NIFTY_ENERGY,0.5434782608695705,4.344173766950684,0.68,0.57,2.07,-0.14,3.77,2.27
